,entity,country,period_start_date,payment_category,count,amount_reported_cad
61,Aecon Group Inc.,Canada,1/1/18,Taxes,5,862755.6599999999
62,Aecon Group Inc.,Canada,1/1/19,Royalties,6,747286.62
63,Aecon Group Inc.,Canada,1/1/19,Taxes,5,752084.73
64,Aethon Minerals Corporation,Chile,1/1/18,Fees,3,651794.0
65,Aex Gold Inc.,Greenland,1/1/18,Fees,4,221746.0
66,Africa Oil Corp.,Ethiopia,1/1/16,Fees,3,835388.0
67,Africa Oil Corp.,Ethiopia,1/1/17,Fees,2,571384.0
68,Africa Oil Corp.,Ethiopia,1/1/18,Fees,2,598400.0
69,Africa Oil Corp.,Ethiopia,1/1/19,Fees,2,220000.0
70,Africa Oil Corp.,Kenya,1/1/16,Fees,6,1185712.0
71,Africa Oil Corp.,Kenya,1/1/17,Fees,6,947978.0
72,Africa Oil Corp.,Kenya,1/1/18,Fees,5,938400.0
73,Africa Oil Corp.,Kenya,1/1/19,Fees,4,568000.0
74,African Gold Group  Inc.,Burkina Faso,1/1/18,Taxes,2,183600.0
75,African Gold Group  Inc.,Mali,1/1/18,Fees,6,89683.84
76,African Gold Group  Inc.,Mali,1/1/18,Taxes,2,26112.0
77,African Gold Group  Inc.,Mali,1/1/19,Fees,3,311357.3
78,Agnico Eagle Mines Limited,Canada,1/1/16,Fees,18,3140000.0
79,Agnico Eagle Mines Limited,Canada,1/1/16,Taxes,11,51420000.0
80,Agnico Eagle Mines Limited,Canada,1/1/17,Bonuses,2,13000000.0
81,Agnico Eagle Mines Limited,Canada,1/1/17,Fees,32,14670000.0
82,Agnico Eagle Mines Limited,Canada,1/1/17,Royalties,3,84040000.0
83,Agnico Eagle Mines Limited,Canada,1/1/17,Taxes,12,39290000.0
84,Agnico Eagle Mines Limited,Canada,1/1/18,Bonuses,2,220000.0
85,Agnico Eagle Mines Limited,Canada,1/1/18,Fees,25,17270000.0
86,Agnico Eagle Mines Limited,Canada,1/1/18,Royalties,2,9840000.0
87,Agnico Eagle Mines Limited,Canada,1/1/18,Taxes,13,97510000.0
88,Agnico Eagle Mines Limited,Canada,1/1/19,Bonuses,8,13570000.0
89,Agnico Eagle Mines Limited,Canada,1/1/19,Fees,25,16790000.0
90,Agnico Eagle Mines Limited,Canada,1/1/19,Royalties,6,20420000.0
91,Agnico Eagle Mines Limited,Canada,1/1/19,Taxes,10,103560000.0
92,Agnico Eagle Mines Limited,Finland,1/1/16,Fees,2,580000.0
93,Agnico Eagle Mines Limited,Finland,1/1/16,Royalties,2,8620000.0
94,Agnico Eagle Mines Limited,Finland,1/1/16,Taxes,2,980000.0
95,Agnico Eagle Mines Limited,Finland,1/1/17,Fees,2,2200000.0
96,Agnico Eagle Mines Limited,Finland,1/1/17,Royalties,2,10820000.0
97,Agnico Eagle Mines Limited,Finland,1/1/17,Taxes,2,20200000.0
98,Agnico Eagle Mines Limited,Finland,1/1/18,Fees,3,3180000.0
99,Agnico Eagle Mines Limited,Finland,1/1/18,Royalties,2,10660000.0
100,Agnico Eagle Mines Limited,Finland,1/1/18,Taxes,2,8240000.0
101,Agnico Eagle Mines Limited,Finland,1/1/19,Fees,3,3580000.0
102,Agnico Eagle Mines Limited,Finland,1/1/19,Royalties,2,9240000.0
103,Agnico Eagle Mines Limited,Finland,1/1/19,Taxes,2,6920000.0
104,Agnico Eagle Mines Limited,Mexico,1/1/16,Infrastructure Improvement Payments,4,1540000.0
105,Agnico Eagle Mines Limited,Mexico,1/1/16,Royalties,3,6970000.0
106,Agnico Eagle Mines Limited,Mexico,1/1/16,Taxes,14,212610000.0
107,Agnico Eagle Mines Limited,Mexico,1/1/17,Bonuses,7,1080000.0
108,Agnico Eagle Mines Limited,Mexico,1/1/17,Fees,24,14830000.0
109,Agnico Eagle Mines Limited,Mexico,1/1/17,Infrastructure Improvement Payments,7,7100000.0
110,Agnico Eagle Mines Limited,Mexico,1/1/17,Royalties,2,8460000.0
111,Agnico Eagle Mines Limited,Mexico,1/1/17,Taxes,4,210040000.0
112,Agnico Eagle Mines Limited,Mexico,1/1/18,Fees,8,2020000.0
113,Agnico Eagle Mines Limited,Mexico,1/1/18,Infrastructure Improvement Payments,3,460000.0
114,Agnico Eagle Mines Limited,Mexico,1/1/18,Royalties,2,11340000.0
115,Agnico Eagle Mines Limited,Mexico,1/1/18,Taxes,4,136250000.0
116,Agnico Eagle Mines Limited,Mexico,1/1/19,Fees,4,580000.0
117,Agnico Eagle Mines Limited,Mexico,1/1/19,Infrastructure Improvement Payments,2,260000.0
118,Agnico Eagle Mines Limited,Mexico,1/1/19,Royalties,2,16000000.0
119,Agnico Eagle Mines Limited,Mexico,1/1/19,Taxes,6,54280000.0
120,Agnico Eagle Mines Limited,Sweden,1/1/17,Fees,3,1280000.0
121,Agnico Eagle Mines Limited,Sweden,1/1/17,Taxes,1,160000.0
122,Agnico Eagle Mines Limited,Sweden,1/1/18,Fees,3,340000.0
123,Agnico Eagle Mines Limited,Sweden,1/1/18,Taxes,1,590000.36
124,Agnico Eagle Mines Limited,Sweden,1/1/19,Taxes,2,1240000.0
125,Agnico Eagle Mines Limited,United States,1/1/16,Fees,5,1200000.0
126,Agnico Eagle Mines Limited,United States,1/1/17,Fees,7,1780000.0
127,Agnico Eagle Mines Limited,United States,1/1/18,Fees,6,1520000.0
128,Agnico Eagle Mines Limited,United States,1/1/19,Fees,6,1810000.0
129,Agrium Inc.,Canada,1/1/16,Fees,3,2920000.0
130,Agrium Inc.,Canada,1/1/16,Royalties,2,19180000.0
131,Agrium Inc.,Canada,1/1/16,Taxes,5,162870000.0
132,Agrium Inc.,Canada,1/1/17,Fees,3,3020000.0
133,Agrium Inc.,Canada,1/1/17,Royalties,2,20700000.0
134,Agrium Inc.,Canada,1/1/17,Taxes,7,70660000.0
135,Agrium Inc.,United States,1/1/16,Fees,3,26660000.0
136,Agrium Inc.,United States,1/1/16,Royalties,3,8700000.0
137,Agrium Inc.,United States,1/1/16,Taxes,21,575810000.0
138,Agrium Inc.,United States,1/1/17,Fees,5,2760000.0
139,Agrium Inc.,United States,1/1/17,Royalties,3,7220000.0
140,Agrium Inc.,United States,1/1/17,Taxes,16,82180000.0
141,Aguia Resources Limited,Brazil,7/1/16,Fees,4,19522.85
142,Aguia Resources Limited,Brazil,7/1/16,Taxes,5,1040397.48
143,Aguia Resources Limited,Brazil,7/1/17,Fees,3,15968.14
144,Aguia Resources Limited,Brazil,7/1/17,Taxes,5,864372.82
145,Aguia Resources Limited,Brazil,7/1/18,Taxes,6,678391.62
146,Aguia Resources Limited,Brazil,7/1/19,Taxes,6,577712.0
147,Alacer Gold Corp.,Turkey,1/1/16,Fees,9,23094436.0
148,Alacer Gold Corp.,Turkey,1/1/16,Infrastructure Improvement Payments,7,2613956.0
149,Alacer Gold Corp.,Turkey,1/1/16,Royalties,6,9216216.0
150,Alacer Gold Corp.,Turkey,1/1/16,Taxes,4,13824324.0
151,Alacer Gold Corp.,Turkey,1/1/17,Fees,8,13154818.0
152,Alacer Gold Corp.,Turkey,1/1/17,Infrastructure Improvement Payments,7,4765862.0
153,Alacer Gold Corp.,Turkey,1/1/17,Royalties,6,6882580.0
154,Alacer Gold Corp.,Turkey,1/1/17,Taxes,3,15349452.0
155,Alacer Gold Corp.,Turkey,1/1/18,Fees,8,9397600.0
156,Alacer Gold Corp.,Turkey,1/1/18,Infrastructure Improvement Payments,2,3712800.0
157,Alacer Gold Corp.,Turkey,1/1/18,Royalties,5,10145600.0
158,Alacer Gold Corp.,Turkey,1/1/18,Taxes,3,20808000.0
159,Alacer Gold Corp.,Turkey,1/1/19,Fees,9,4260720.0
160,Alacer Gold Corp.,Turkey,1/1/19,Infrastructure Improvement Payments,6,1896540.0
161,Alacer Gold Corp.,Turkey,1/1/19,Royalties,5,4026900.0
162,Alacer Gold Corp.,Turkey,1/1/19,Taxes,3,13613520.0
163,Alamos Gold Inc.,Canada,1/1/16,Fees,2,26486.0
164,Alamos Gold Inc.,Canada,1/1/16,Taxes,2,4476134.0
165,Alamos Gold Inc.,Canada,1/1/17,Fees,8,2467340.0
166,Alamos Gold Inc.,Canada,1/1/17,Taxes,2,2779004.0
167,Alamos Gold Inc.,Canada,1/1/18,Fees,5,3354000.0
168,Alamos Gold Inc.,Canada,1/1/18,Infrastructure Improvement Payments,4,78000.0
169,Alamos Gold Inc.,Canada,1/1/18,Taxes,4,2496000.0
170,Alamos Gold Inc.,Canada,1/1/19,Fees,8,2440000.0
171,Alamos Gold Inc.,Canada,1/1/19,Infrastructure Improvement Payments,2,540000.0
172,Alamos Gold Inc.,Canada,1/1/19,Taxes,4,1960000.0
173,Alamos Gold Inc.,Mexico,1/1/16,Fees,4,3602096.0
174,Alamos Gold Inc.,Mexico,1/1/16,Infrastructure Improvement Payments,2,317832.0
175,Alamos Gold Inc.,Mexico,1/1/16,Royalties,2,1959964.0
176,Alamos Gold Inc.,Mexico,1/1/16,Taxes,3,3072376.0
177,Alamos Gold Inc.,Mexico,1/1/17,Fees,4,2077760.0
178,Alamos Gold Inc.,Mexico,1/1/17,Infrastructure Improvement Payments,2,2337480.0
179,Alamos Gold Inc.,Mexico,1/1/17,Royalties,2,2467340.0
180,Alamos Gold Inc.,Mexico,1/1/17,Taxes,2,6493000.0
181,Alamos Gold Inc.,Mexico,1/1/18,Fees,4,5148000.0
182,Alamos Gold Inc.,Mexico,1/1/18,Infrastructure Improvement Payments,3,12142000.0
183,Alamos Gold Inc.,Mexico,1/1/18,Royalties,2,2574000.0
184,Alamos Gold Inc.,Mexico,1/1/18,Taxes,2,11648000.0
185,Alamos Gold Inc.,Mexico,1/1/19,Fees,5,7540000.0
186,Alamos Gold Inc.,Mexico,1/1/19,Infrastructure Improvement Payments,3,7740000.0
187,Alamos Gold Inc.,Mexico,1/1/19,Royalties,2,2240000.0
188,Alamos Gold Inc.,Mexico,1/1/19,Taxes,2,23480000.0
189,Alamos Gold Inc.,Turkey,1/1/16,Fees,2,344318.0
190,Alamos Gold Inc.,Turkey,1/1/17,Fees,2,25244784.0
191,Alamos Gold Inc.,Turkey,1/1/18,Fees,3,9776000.0
192,Alamos Gold Inc.,Turkey,1/1/19,Fees,2,2260000.0
193,Alamos Gold Inc.,Turkey,1/1/19,Infrastructure Improvement Payments,2,21560000.0
194,Alderon Iron Ore Corp.,Canada,1/1/16,Fees,2,340000.0
195,Alderon Iron Ore Corp.,Canada,1/1/17,Fees,2,360000.0
196,Alderon Iron Ore Corp.,Canada,1/1/18,Fees,2,360000.0
197,Aldridge Minerals Inc.,Canada,1/1/16,Taxes,2,28114.0
198,Aldridge Minerals Inc.,Canada,1/1/17,Taxes,2,29786.0
199,Aldridge Minerals Inc.,Canada,1/1/18,Taxes,2,27234.0
200,Aldridge Minerals Inc.,Turkey,1/1/16,Fees,13,2579778.0
201,Aldridge Minerals Inc.,Turkey,1/1/16,Taxes,4,2450724.0
202,Aldridge Minerals Inc.,Turkey,1/1/17,Fees,10,689445.0
203,Aldridge Minerals Inc.,Turkey,1/1/17,Taxes,2,115356.0
204,Aldridge Minerals Inc.,Turkey,1/1/18,Fees,10,493062.0
205,Aldridge Minerals Inc.,Turkey,1/1/18,Taxes,2,11096.0
206,Algold Resources Ltd,Mauritania,1/1/16,Fees,3,776342.0
207,Algold Resources Ltd,Mauritania,1/1/17,Fees,2,262562.0
208,Algold Resources Ltd,Mauritania,1/1/18,Fees,2,114292.0
209,Alio Gold (Us) Inc.,United States,1/1/16,Fees,21,976000.0
210,Alio Gold (Us) Inc.,United States,1/1/16,Taxes,4,1022000.0
211,Alio Gold (Us) Inc.,United States,1/1/17,Fees,19,2849000.0
212,Alio Gold (Us) Inc.,United States,1/1/17,Taxes,5,865000.0
213,Alio Gold Inc.,Mexico,1/1/16,Fees,5,4600000.0
214,Alio Gold Inc.,Mexico,1/1/16,Royalties,2,1300000.0
215,Alio Gold Inc.,Mexico,1/1/16,Taxes,2,140000.0
216,Alio Gold Inc.,Mexico,1/1/17,Fees,3,4020000.0
217,Alio Gold Inc.,Mexico,1/1/17,Royalties,2,1640000.0
218,Alio Gold Inc.,Mexico,1/1/17,Taxes,3,27460000.0
219,Alio Gold Inc.,Mexico,1/1/18,Fees,3,4320000.0
220,Alio Gold Inc.,Mexico,1/1/18,Royalties,2,1340000.0
221,Alio Gold Inc.,Mexico,1/1/18,Taxes,3,4760000.0
222,Alio Gold Inc.,Mexico,1/1/19,Fees,3,5560000.0
223,Alio Gold Inc.,Mexico,1/1/19,Royalties,2,920000.0
224,Alio Gold Inc.,United States,1/1/18,Fees,5,1120000.0
225,Alio Gold Inc.,United States,1/1/18,Taxes,5,5040000.0
226,Alio Gold Inc.,United States,1/1/19,Fees,6,1100000.0
227,Alio Gold Inc.,United States,1/1/19,Taxes,2,1140000.0
228,Alloycorp Mining Inc.,Canada,1/1/16,Fees,2,328502.18
229,Alloycorp Mining Inc.,Canada,1/1/16,Taxes,1,4676.0
230,Almaden Minerals Ltd.,Mexico,1/1/16,Fees,2,280000.0
231,Almaden Minerals Ltd.,Mexico,1/1/17,Fees,2,300000.0
232,Almaden Minerals Ltd.,Mexico,1/1/18,Fees,2,280000.0
233,Almaden Minerals Ltd.,Mexico,1/1/19,Fees,2,330000.0
234,Almadex Minerals Ltd.,Mexico,1/1/18,Fees,6,240000.0
235,Almadex Minerals Ltd.,Mexico,1/1/19,Fees,7,480000.0
236,Almonty Industries Inc.,Australia,10/1/15,Fees,4,876538.0
237,Almonty Industries Inc.,Australia,10/1/15,Royalties,4,763198.0
238,Alphabow Energy Ltd.,Canada,1/1/18,Fees,5,5528000.0
239,Alphabow Energy Ltd.,Canada,1/1/18,Royalties,4,5238000.0
240,Alphabow Energy Ltd.,Canada,1/1/18,Taxes,20,13534000.0
241,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/16,Fees,4,851459.14
242,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/16,Infrastructure Improvement Payments,2,712540.16
243,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/17,Fees,3,291263.49
244,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/18,Fees,3,663512.99
245,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/18,Taxes,2,1925636.77
246,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/19,Infrastructure Improvement Payments,2,400000.0
247,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/19,Royalties,5,4032856.2
248,Alphamin Resources Corp.,Congo  Democratic Republic Of The,1/1/19,Taxes,2,206704.0
249,Altagas Ltd.,Canada,1/1/16,Royalties,2,200000.0
250,Altagas Ltd.,Canada,1/1/17,Fees,2,320000.0
251,Altagas Ltd.,Canada,1/1/17,Royalties,2,220000.0
252,Altagas Ltd.,Canada,1/1/18,Fees,4,661784.4
253,Altamira Gold Corp.,Brazil,3/1/16,Fees,6,289316.0
254,Altamira Gold Corp.,Brazil,3/1/17,Fees,6,717252.0
255,Altamira Gold Corp.,Brazil,3/1/18,Fees,7,481090.0
256,Altamira Gold Corp.,Brazil,3/1/19,Fees,7,842232.0
257,Altan Rio Minerals Limited,Mongolia,1/1/16,Fees,2,39786.0
258,Altan Rio Minerals Limited,Mongolia,1/1/17,Fees,2,29548.0
259,Altan Rio Minerals Limited,Mongolia,1/1/18,Fees,2,29192.0
260,Altura Energy Inc.,Canada,1/1/16,Bonuses,3,4654000.0
261,Altura Energy Inc.,Canada,1/1/16,Fees,5,660000.0
262,Altura Energy Inc.,Canada,1/1/16,Royalties,3,820000.0
263,Altura Energy Inc.,Canada,1/1/17,Bonuses,3,2359000.0
264,Altura Energy Inc.,Canada,1/1/17,Fees,1,147000.0
265,Altura Energy Inc.,Canada,1/1/17,Royalties,2,2054000.0
266,Altura Energy Inc.,Canada,1/1/18,Fees,3,455000.0
267,Altura Energy Inc.,Canada,1/1/18,Royalties,3,1910000.0
268,Altura Energy Inc.,Canada,1/1/19,Fees,3,300000.0
269,Altura Energy Inc.,Canada,1/1/19,Royalties,3,2060000.0
270,Altura Energy Inc.,Canada,1/1/19,Taxes,2,340000.0
271,Altus Strategies Plc,Cameroon,1/1/18,Fees,7,244694.0
272,Alvopetro Energy Ltd.,Brazil,1/1/16,Fees,4,2263632.0
273,Alvopetro Energy Ltd.,Brazil,1/1/17,Fees,3,267511.6
274,Alvopetro Energy Ltd.,Brazil,1/1/18,Fees,2,565760.0
275,Amarc Resources Ltd.,Canada,4/1/17,Fees,3,220000.0
276,Americas Gold And Silver Corporation,Mexico,1/1/16,Fees,4,1420991.0
277,Americas Gold And Silver Corporation,Mexico,1/1/16,Taxes,1,836218.0
278,Americas Gold And Silver Corporation,Mexico,1/1/17,Fees,4,3006962.0
279,Americas Gold And Silver Corporation,Mexico,1/1/17,Taxes,2,225324.0
280,Americas Gold And Silver Corporation,Mexico,1/1/18,Fees,4,1853734.0
281,Americas Gold And Silver Corporation,Mexico,1/1/18,Taxes,2,543262.0
282,Americas Gold And Silver Corporation,Mexico,1/1/19,Fees,4,1956484.0
283,Americas Gold And Silver Corporation,Mexico,1/1/19,Taxes,2,1142104.0
284,Americas Gold And Silver Corporation,United States,1/1/16,Fees,4,586343.0
285,Americas Gold And Silver Corporation,United States,1/1/16,Taxes,1,836218.0
286,Americas Gold And Silver Corporation,United States,1/1/17,Fees,4,907826.0
287,Americas Gold And Silver Corporation,United States,1/1/17,Taxes,2,1062332.0
288,Americas Gold And Silver Corporation,United States,1/1/18,Fees,4,1038638.0
289,Americas Gold And Silver Corporation,United States,1/1/18,Taxes,2,1054588.0
290,Americas Gold And Silver Corporation,United States,1/1/19,Fees,6,1856026.0
291,Americas Gold And Silver Corporation,United States,1/1/19,Taxes,2,1062866.0
292,Amerigo Resources Ltd.,Chile,1/1/16,Royalties,2,35219033.76
293,Amerigo Resources Ltd.,Chile,1/1/17,Fees,2,442383.68
294,Amerigo Resources Ltd.,Chile,1/1/17,Infrastructure Improvement Payments,2,276170.66
295,Amerigo Resources Ltd.,Chile,1/1/17,Royalties,2,75050992.32
296,Amerigo Resources Ltd.,Chile,1/1/17,Taxes,2,3534906.08
297,Amerigo Resources Ltd.,Chile,1/1/18,Fees,2,420186.72
298,Amerigo Resources Ltd.,Chile,1/1/18,Infrastructure Improvement Payments,2,1155556.22
299,Amerigo Resources Ltd.,Chile,1/1/18,Royalties,2,114587429.16
300,Amerigo Resources Ltd.,Chile,1/1/18,Taxes,2,8626184.26
301,Amerigo Resources Ltd.,Chile,1/1/19,Fees,2,507191.96
302,Amerigo Resources Ltd.,Chile,1/1/19,Royalties,2,93218573.0
303,Amerigo Resources Ltd.,Chile,1/1/19,Taxes,2,8627329.28
304,Anaconda Mining Inc.,Canada,1/1/18,Fees,2,380000.0
305,Anaconda Mining Inc.,Canada,1/1/18,Taxes,2,240000.0
306,Anaconda Mining Inc.,Canada,1/1/19,Fees,2,380000.0
307,Anaconda Mining Inc.,Canada,1/1/19,Taxes,2,1860000.0
308,Anaconda Mining Inc.,Canada,6/1/16,Fees,3,620000.0
309,Anegada Oil Corp.,Canada,1/1/18,Fees,3,179385.58
310,Anegada Oil Corp.,Canada,1/1/18,Royalties,2,10172641.16
311,Anegada Oil Corp.,Canada,1/1/18,Taxes,2,529965.24
312,Anegada Oil Corp.,Canada,1/1/19,Bonuses,2,10920000.0
313,Anegada Oil Corp.,Canada,1/1/19,Fees,3,340000.0
314,Anegada Oil Corp.,Canada,1/1/19,Royalties,2,30800000.0
315,Anegada Oil Corp.,Canada,1/1/19,Taxes,3,1260000.0
316,Anfield Gold Corp.,Brazil,1/1/16,Fees,3,260000.0
317,Anfield Gold Corp.,Brazil,1/1/16,Infrastructure Improvement Payments,2,280000.0
318,Angkor Resources Corp.,Cambodia,8/1/16,Fees,2,495826.84
319,Angold Resources Ltd.,Madagascar,1/1/17,Fees,2,820992.0
320,Antioquia Gold Inc.,Colombia,1/1/19,Fees,4,460329.05
321,Antioquia Gold Inc.,Colombia,1/1/19,Infrastructure Improvement Payments,2,147053.74
322,Antioquia Gold Inc.,Colombia,1/1/19,Royalties,2,1207811.52
323,Antioquia Gold Inc.,Colombia,1/1/19,Taxes,4,55910.36
324,Antofagasta Minerals,Chile,1/1/16,Fees,7,17855744.8
325,Antofagasta Minerals,Chile,1/1/16,Taxes,3,249921141.59999996
326,Antofagasta Minerals,Chile,1/1/17,Fees,8,14460528.0
327,Antofagasta Minerals,Chile,1/1/17,Taxes,10,939924264.0
328,Antofagasta Minerals,Chile,1/1/18,Fees,8,16710822.0
329,Antofagasta Minerals,Chile,1/1/18,Taxes,6,1469996181.0
330,Antofagasta Minerals,Chile,1/1/19,Fees,7,17921004.0
331,Antofagasta Minerals,Chile,1/1/19,Taxes,4,1070502003.0
332,Antofagasta Minerals,United States,1/1/16,Fees,3,592856.0
333,Antofagasta Minerals,United States,1/1/17,Fees,3,517884.0
334,Antofagasta Minerals,United States,1/1/18,Fees,3,745902.0
335,Antofagasta Minerals,United States,1/1/19,Fees,3,2556432.0
336,Ap2k Holdings Ltd.,Canada,9/30/19,Fees,2,100000.0
337,Ap2k Holdings Ltd.,Canada,9/30/19,Royalties,2,380000.0
338,Ap2k Holdings Ltd.,Canada,9/30/19,Taxes,2,280000.0
339,Apache Finance Canada Corporation,Canada,1/1/16,Fees,11,30580000.0
340,Apache Finance Canada Corporation,Canada,1/1/16,Royalties,10,50160000.0
341,Apache Finance Canada Corporation,Canada,1/1/16,Taxes,26,55240000.0
342,Aquila Resources Inc.,United States,1/1/16,Fees,2,220000.0
343,Aquila Resources Inc.,United States,1/1/17,Fees,2,285692.0
344,Aquila Resources Inc.,United States,1/1/18,Fees,2,326400.0
345,Aquila Resources Inc.,United States,1/1/18,Taxes,2,204000.0
346,Aquila Resources Inc.,United States,1/1/19,Fees,2,364500.0
347,Aranjin Resources Ltd.,Brazil,1/1/16,Fees,7,101674.0
348,Aranjin Resources Ltd.,Brazil,1/1/17,Fees,10,261743.0
349,Aranjin Resources Ltd.,Canada,1/1/16,Fees,2,102890.0
350,Arc Resources Ltd.,Canada,1/1/16,Bonuses,3,5280000.0
351,Arc Resources Ltd.,Canada,1/1/16,Fees,11,24600000.0
352,Arc Resources Ltd.,Canada,1/1/16,Royalties,8,148760000.0
353,Arc Resources Ltd.,Canada,1/1/16,Taxes,32,76420000.0
354,Arc Resources Ltd.,Canada,1/1/17,Bonuses,5,194960000.0
355,Arc Resources Ltd.,Canada,1/1/17,Fees,10,26510000.0
356,Arc Resources Ltd.,Canada,1/1/17,Royalties,8,203260000.0
357,Arc Resources Ltd.,Canada,1/1/17,Taxes,22,62610000.0
358,Arc Resources Ltd.,Canada,1/1/18,Bonuses,2,1780000.0
359,Arc Resources Ltd.,Canada,1/1/18,Fees,12,25660000.0
360,Arc Resources Ltd.,Canada,1/1/18,Royalties,8,235090000.0
